,index,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,,,,시기 구별,기간,창당/탈당 등 주요사건
0,더불어민주당,124,123,122,122,121,121,121,129,128,129,,,,period 1,2016.05.30(개원)~2017.1.26,2017.01.24 바른정당 창당
1,새누리당,96,1,1,1,0,0,0,0,0,0,,,,period 2,2017.1.27~2017.03.17,2017.02.13 새누리당 -> 자유한국당 개명
2,국민의당,38,40,41,41,41,40,0,0,0,0,,,,period 3,2017.03.18~2017.04.28,2017.04.12 재보궐선거
3,바른정당,32,32,32,19,10,9,0,0,0,0,,,,,,2017.04.05 태극기 애국신당 새누리당 창당(기존 새누리당과 상관없는 군소정당)
4,정의당,6,6,6,6,6,6,6,5,6,6,,,,period 4,2017.04.29~2017.05.04,"2017.05.02 바른정당 비유승민계 12명 집단탈당, 같은달 12일 자한당 복당"
5,무소속,5,4,4,4,2,2,4,7,19,18,,,,period 5,2017.05.05~2017.11.09,2017.08.30 대한애국당 창당
6,자유한국당,0,94,94,107,117,118,116,115,110,108,,,,,,2017.10.15 민중당 창당
7,(태극기)새누리당,0,0,1,1,0,0,0,0,0,0,,,,,,2017.11.06 바른정당 탈당 김무성 등 의원9명(3일 후인 9일 자한당 입당)
8,민중당,0,0,0,0,2,1,1,1,1,1,,,,period 6,2017.11.10~2018.01.16,
9,대한애국당,0,0,0,0,1,1,1,1,0,0,,,,period 7,2018.01.17~2018.02.13,2018.02.07 민주평화당 창당
10,바른미래당,0,0,0,0,0,0,29,27,26,18,,,,period 8,2018.02.14~2018.12.18,2018.02.13 바른미래당 창당(국민의당 바른정당 합당)
11,민주평화당,0,0,0,0,0,0,16,16,6,6,,,,,,2018.06.13 재보궐선거
12,우리공화당,0,0,0,0,0,0,0,0,2,2,,,,period 9,2018.12.19~2019.08.16,2019.06.24 대한애국당 -> 우리공화당 개명
13,새로운보수당,0,0,0,0,0,0,0,0,0,8,,,,,,2019.08.12 민주평화당 비당권파 10명 탈당 + 김경진 탈당
,,,,,,,,,,,,,,,period 10,2019.08.16~2020.01.03,2020.01.03 새로운보수당 창당
,,,,,,,,,,,,,,,,,2020.01.12대안신당 창당
